,Min,Max,Average
09-01,0.008729868887943207,0.43612050470287617,0.14723863210090557
09-02,0.010508318136063797,0.5249669918190808,0.17723409227509085
09-03,0.010332253294861898,0.5161712712428587,0.1742645692831209
09-04,0.011957368742018692,0.5973576187255005,0.2016738899174647
09-05,0.014908306368527281,0.7447784360984917,0.2514446281862024
09-06,0.02105392217311561,1.0517966858351733,0.3550970513898324
09-07,0.017191333488513004,0.858832261258873,0.2899503370932655
09-08,0.010110367141330292,0.505086442535015,0.17052222055515245
09-09,0.009207345014951431,0.459973913289802,0.15529178074539718
09-10,0.018634904604982936,0.9309491477746441,0.31429771724956557
09-11,0.021639269072658337,1.0810390248131854,0.3649695566816596
09-12,0.017929333355596603,0.895700727284482,0.30239749893668244
09-13,0.017453484627057307,0.8719286190985968,0.2943717981184439
09-14,0.020164466970404766,1.0073619231948554,0.34009543234569645
09-15,0.016663993961175096,0.8324878128181853,0.2810561885493846
09-16,0.017254950523542045,0.8620103952928083,0.29102330684071814
09-17,0.014175612962105748,0.7081750664141717,0.2390869655115827
09-18,0.010877374954359075,0.5434040666394445,0.1834586326193745
09-19,0.011646254375463534,0.5818151911926261,0.196426611367636
09-20,0.013952296479750608,0.6970187823687488,0.23532049274897704
09-21,0.01748982933689101,0.873744301945546,0.2949847907565589
09-22,0.01362484308831281,0.6806601015943153,0.22979763896377395
09-23,0.014138073221399372,0.706299683075266,0.23845381739195137
09-24,0.01526794103026244,0.762744805605049,0.257510253721895
09-25,0.014701318820042747,0.7344379011751139,0.24795356046319528
09-26,0.013761324319847851,0.6874783326976185,0.23209954178689882
09-27,0.012768140635604597,0.6378615772577918,0.21534843029026696
09-28,0.012195410215570765,0.6092495232796599,0.2056887155006412
09-29,0.014230319465479433,0.7109080545229407,0.24000964955496962
09-30,0.012767531084405289,0.6378311257378323,0.21533814955341582
10-01,0.018330943268841663,0.9157640661852545,0.3091710822543006
10-02,0.01893720136540303,0.9460510716885916,0.3193962773842157
10-03,0.018289541827534922,0.9136957627880454,0.30847280239886893
10-04,0.01904053962237333,0.9512135699303745,0.32113918827959154
10-05,0.021248398501226402,1.0615121942187618,0.35837710391921074
10-06,0.020444707362165814,1.02136197092315,0.3448219880903429
10-07,0.020335418036447575,1.0159021734734195,0.34297870601720576
10-08,0.017935648227039233,0.8960162010855257,0.30250400603834005
10-09,0.021083430246765983,1.053270828933815,0.35559473680252096
10-10,0.02121053532465516,1.0596206529037817,0.3577385007057027
10-11,0.018848927759034146,0.9416411624155314,0.31790744803073956
10-12,0.013815791238640582,0.6901993518123847,0.23301818497853583
10-13,0.015300183913660758,0.7643555723601111,0.2580540646436276
10-14,0.01172482001920684,0.5857401170582321,0.19775170548570092
10-15,0.012520297349996897,0.6254800008339201,0.21116828660005976
10-16,0.01546516359156126,0.7725975083290529,0.26083662442892597
10-17,0.016248872719330336,0.8117494846909141,0.2740547221367942
10-18,0.019375356203093618,0.9679400956137433,0.3267862301748075
10-19,0.0185205896137121,0.9252382817435406,0.3123696719192868
10-20,0.01739979048494148,0.869246205804683,0.2934661886369676
10-21,0.02424033233344011,1.2109810705205315,0.40883928730892677
10-22,0.024497316146658635,1.223819282841924,0.41317359583246355
10-23,0.023176848256517977,1.1578522986770834,0.39090248404681033
10-24,0.020261830942592478,1.0122259624187464,0.3417375804999062
10-25,0.019492111629197947,0.9737728791312305,0.32875543606445173
10-26,0.02196013320663286,1.097068524207304,0.37038127554972855
10-27,0.023310995475254753,1.1645539288494184,0.3931650212327035
10-28,0.02041745806696974,1.0200006702522864,0.3443623994067231
10-29,0.02112432875897908,1.0553140073614553,0.35628453421763856
10-30,0.017822855528291093,0.8903813846482738,0.30060163580943755
10-31,0.0190233732829448,0.9503559863043695,0.3208496594942134
11-01,0.01599518430541347,0.7990759015552615,0.26977599406831715
11-02,0.01997808684574449,0.9980508791142638,0.3369519309989952
11-03,0.020169341176313776,1.0076054252643996,0.34017764107297893
11-04,0.014841093315046154,0.7414206547637348,0.2503110077182531
11-05,0.014812242963614277,0.7399793696781474,0.249824415498486
11-06,0.017059245407105572,0.8522334999867301,0.2877225294740556
11-07,0.020527372875580253,1.0254917151260232,0.34621623092185566
11-08,0.020928248292761065,1.0455183606012297,0.35297742617303535
11-09,0.021572240743304775,1.0776904717933986,0.3638390517848841
11-10,0.0185694623403213,0.9276798302328253,0.3131939630404191
11-11,0.026646943805019644,1.3312088337414156,0.4494293792819121
11-12,0.027813824652724906,1.3895030270175803,0.4691100803378185
11-13,0.023120378317820104,1.1550312141360004,0.38995005776923125
11-14,0.021560144492557515,1.0770861760074455,0.3636350355005118
11-15,0.015223099076127055,0.7605046235449956,0.2567539459156295
11-16,0.014493172305682655,0.72403946746894,0.24444294553365398
11-17,0.020303469958243243,1.014306134383989,0.342439867302279
11-18,0.02169471447239428,1.0838089261744406,0.36590470300724565
11-19,0.01593631248094861,0.7961348253343054,0.26878305740285785
11-20,0.01962776287559817,0.9805496464347287,0.3310433402952171
11-21,0.020349623440995404,1.0166118368464243,0.3432182954498662
11-22,0.01420438479408809,0.7096124288816305,0.23957223341634676
11-23,0.017245720978302594,0.8615493123166865,0.29086764062929926
11-24,0.015854331979349368,0.7920393024585111,0.2674003680326785
11-25,0.019083123594476926,0.953340949349752,0.32185741278931085
11-26,0.017767707703447457,0.8876263493192449,0.29967150840459966
11-27,0.021351378723245797,1.06665680600824,0.3601139761698953
